Country ,Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,ABW,24101.10943,25870.75594,26533.3439,27430.7524,28656.52021,28648.99002,28499.08943,30215.94923,30512.68391,30728.0545,33120.05418,32117.91232,30862.22269,31387.28296,34176.4646,35207.57724,36362.21932,37865.49349,38515.2638,34693.08675,33732.84745,35492.61849,35498.98209,37419.89282,38223.37226,38249.05487,38390.27165,39454.62983,,
Afghanistan,AFG,,,,,,,,,,,,,839.4858861,888.15337,885.840819,979.2739786,1031.643135,1176.126357,1218.118215,1454.663015,1637.377987,1626.764793,1806.76393,1874.765634,1897.525938,1886.692977,1896.99252,1934.636754,1955.006208,
Angola,AGO,3089.683369,3120.356148,2908.160798,2190.76816,2195.532289,2496.199493,2794.896906,2953.342709,3027.341795,3037.721175,3097.307292,3191.266323,3564.096026,3614.607278,3978.697194,4555.185842,5048.876449,5697.251328,6221.423373,6092.783245,6230.297028,6346.395122,6772.528333,6980.423038,7199.245478,7096.600615,6756.935074,6650.58494,6452.355165,
Albania,ALB,2549.473022,1909.114038,1823.307673,2057.449657,2289.873135,2665.764906,2980.066288,2717.362124,3021.014738,3471.652592,3861.334172,4301.352799,4661.371553,4994.518807,5422.778462,5865.306196,6559.783257,7276.302969,8228.374239,8814.810856,9628.025783,10207.75235,10526.23545,10571.01065,11259.22589,11662.03048,11868.17897,12930.14003,13364.1554,
Arab World,ARB,6808.206995,6872.273195,7255.328362,7458.647059,7645.682856,7774.20736,8094.149842,8397.515692,8797.662606,8938.451524,9415.632618,9584.108301,9581.797143,9974.641898,10937.31609,11646.48609,12442.18794,13041.92553,13739.72775,13640.84678,14127.77802,14518.82745,15423.46539,15824.78011,16153.24486,16501.79259,16935.3833,17099.88939,17570.1376,
United Arab Emirates,ARE,72906.52012,71753.72956,71567.82752,70082.38933,72471.68729,74994.38062,76848.79224,80390.06411,77421.10866,76654.25591,82215.31447,80843.60537,79863.48973,82946.33521,85147.21909,81635.46797,79970.73625,72802.1616,66641.48428,56975.52938,54230.17367,56574.28818,58961.20201,62641.83699,66443.99758,70212.09301,72386.09047,73137.87019,75075.25741,
Argentina,ARG,7380.115031,8210.643432,8942.569853,9777.214005,10435.91077,10225.11871,10857.42967,11802.84259,12255.67626,11878.73117,11916.58261,11514.61911,10310.12912,11307.75798,12527.8005,13916.53051,15334.93686,16994.69598,17850.13019,16753.39489,18524.85676,19817.45048,19764.22501,20365.61335,20008.32064,20551.83319,20130.40803,20843.15507,20610.56855,
Armenia,ARM,2428.55896,2237.752728,1356.210786,1296.178498,1429.102386,1591.894846,1742.734114,1852.200102,2025.55542,2136.121598,2327.362521,2621.854364,3031.121882,3539.630267,4038.455075,4772.590047,5609.16897,6609.171824,7264.561195,6326.657969,6565.67866,7019.767748,7649.061531,8003.087763,8405.073655,8727.385447,8808.572714,9620.818491,10343.17559,
Antigua and Barbuda,ATG,11326.70262,11806.23441,12005.98679,12682.47535,13524.67029,12924.35537,13729.75755,14416.11487,14951.18066,15423.9946,16526.98722,15804.12156,15994.17615,17059.13716,18284.46766,19784.96679,22634.001,24994.55822,25064.10177,21852.20308,20134.81725,19876.21532,20672.91206,20656.38158,21599.19914,22422.02939,23670.30226,24644.55188,26868.13352,
Australia,AUS,17329.70661,17790.98014,18189.37874,19131.84187,20064.45901,20894.39721,21972.05265,22934.78601,24196.72128,25264.36436,26328.67368,27336.68269,28718.24108,29693.90591,31327.37749,32575.06925,34306.65231,36560.40565,37459.30765,40300.30823,39324.36895,41965.35842,42826.78958,45902.04795,46880.22066,46276.15069,47305.88002,49628.81181,51663.36509,
Austria,AUT,19442.31204,20585.01931,21259.63675,21698.30767,22606.82964,23660.40861,24529.20783,25424.06993,26674.60955,27606.48303,29380.06604,29715.22222,31178.69333,32108.63255,33743.04471,35013.71404,37623.07576,39392.54059,41316.22518,40926.52376,42006.04688,44452.73275,46457.34578,47922.04912,48799.71547,49879.26647,51809.51363,53937.06638,55454.68929,
Azerbaijan,AZE,5703.869981,5765.287722,4495.397859,3485.511594,2820.251167,2510.538535,2563.721,2732.700287,3011.087717,3251.934938,3663.445253,4082.68233,4504.976485,5018.890056,5581.871258,7290.229953,9989.206473,12724.34834,14047.66019,15162.8878,15884.04479,15754.15236,16193.39567,17216.17853,17808.9019,17973.09067,17417.08669,17525.27963,18044.13678,
Burundi,BDI,666.7039012,707.3092624,715.2297296,673.1692275,649.8996288,601.9874705,557.1693503,552.1150432,578.8523018,573.7140549,571.3263123,582.4678169,601.5297558,587.2425099,612.4744378,617.0619445,648.7489871,666.8755949,689.7486433,698.1735533,718.7144691,739.219255,762.4224795,788.8937827,812.0300436,764.1957633,743.9035976,737.9785829,744.182072,
Belgium,BEL,18659.11956,19570.87419,20240.98124,20441.22271,21485.12027,22411.75195,22715.63203,23729.79048,24368.523,25440.84119,27788.43052,28800.12971,30282.28865,30898.60744,32033.87096,33177.89095,35222.60515,36755.65633,37883.33194,37757.28209,39836.89771,40942.37271,42290.76205,43671.11959,44929.68559,46213.26653,47855.49023,50220.86667,51407.99834,
Benin,BEN,949.1686909,988.7710146,1005.614605,1052.038609,1059.292046,1109.72406,1142.406294,1192.095665,1216.727387,1262.405244,1326.089814,1384.897282,1428.017897,1459.584662,1518.93259,1546.708441,1609.104674,1701.971136,1769.252435,1773.729771,1781.563317,1820.889304,1891.530388,2006.327881,2114.480315,2122.235592,2169.755807,2276.59573,2424.755845,
Burkina Faso,BFA,547.9151714,601.5015452,600.2564122,618.7524048,623.0491023,654.2616207,719.4563667,756.7321851,798.4742693,845.7668493,855.7447616,906.0727906,933.2403657,995.4642409,1037.231644,1128.295648,1198.756926,1261.982902,1339.245523,1348.005973,1394.2531,1472.715841,1550.630684,1620.205369,1672.023437,1704.859643,1772.848279,1866.514733,1984.884306,
Bangladesh,BGD,860.21051,899.1421235,948.2721469,994.6737327,1033.086949,1085.349904,1130.860059,1176.895726,1226.020893,1275.738234,1346.743205,1419.137782,1469.845761,1541.185923,1638.916165,1773.888588,1923.417573,2088.720935,2231.689464,2335.918717,2466.902949,2650.729933,2844.702565,3033.404632,3240.885623,3451.398507,3696.776193,3998.419424,4371.754986,
Bulgaria,BGR,7493.206899,7162.974001,6866.765558,6980.869912,7284.255361,7683.853685,6779.308032,5696.765277,6141.212577,5767.167926,6377.837474,6908.956055,7726.400977,8343.138854,9122.849554,10211.27988,11313.55081,12800.81668,14328.98986,14146.1069,14934.13274,15676.13334,16208.22043,16571.02876,17534.30326,18186.48723,19500.32945,20948.19428,21960.36994,
Bahrain,BHR,22786.05097,25491.20716,27107.71135,30554.78561,30371.76011,31420.32574,32448.98025,33099.13889,34002.2607,34685.45229,35763.21023,35689.48306,35551.58974,36338.58416,37461.93299,38492.09419,39170.68512,40300.17978,40565.77983,39422.3421,39740.61794,40168.32789,41753.10138,44273.42185,46331.98242,46911.96227,47215.78618,47660.71731,47303.04851,
"Bahamas, The",BHS,20120.34846,19565.53696,18882.62026,19028.99141,19700.16227,20668.90774,21643.23036,22206.17095,23253.1428,24976.2782,26238.18446,27102.45479,27812.35914,27482.05591,27956.38229,29258.70162,30326.45273,30996.4288,30299.92548,28760.51286,29099.05721,29503.70807,30656.13395,29977.73977,30482.19811,30696.33839,30863.26693,31155.14475,32087.72915,
Bosnia and Herzegovina,BIH,,,,,952.9039071,1208.231554,2364.760787,3257.328337,3809.619706,4225.42415,4547.97267,4751.117361,5136.520313,5373.142659,6200.620711,6479.660192,7406.347448,8188.589841,9028.865381,9030.464332,9347.583517,9976.479662,10304.01646,11016.58285,11433.16053,12013.9825,12824.03613,13735.0785,14623.67405,
Belarus,BLR,5429.321055,5542.852529,5113.892295,4826.324636,4357.753957,3999.324127,4200.594883,4780.387121,5265.243908,5546.145097,6027.325186,6483.761082,6962.798228,7644.927706,8809.526945,10005.93725,11409.2556,12781.80909,14409.22188,14580.5808,15927.8747,17166.69564,17807.41774,18298.84706,18949.88244,18389.74375,18098.42286,18915.93989,19994.80408,
Belize,BLZ,3262.195857,3688.808293,4158.325793,4448.496513,4459.119741,4464.989452,4467.048793,4537.058141,4580.641476,4869.777424,5437.384498,5658.088689,5873.411376,6369.457477,6669.721807,6873.415769,7214.467355,7297.398433,7484.370023,7403.044146,7555.204308,7694.355111,7886.901934,7913.061672,8179.45644,8371.374376,8242.629592,8352.944346,8648.0888,
Bermuda,BMU,26316.04395,26380.04639,27161.14858,28488.04617,29068.52928,30762.70948,31935.88484,33774.26287,35226.7199,36737.95886,40694.79221,44112.32699,43861.57041,45898.5812,47914.37378,49909.88091,53960.55659,56666.44157,58305.3793,55337.67603,55241.0749,54984.51039,53137.21507,52547.33309,,,,,,
Bolivia,BOL,2402.712724,2560.109653,2606.011168,2723.858298,2851.833502,2985.649937,3108.910438,3253.047509,3387.130919,3383.709596,3478.202471,3546.116063,3623.09177,3721.055939,3909.065039,4134.616513,4386.565455,4629.682798,4925.91967,5045.331273,5228.115329,5524.717798,5825.139985,6231.296345,6593.232982,6882.488916,7147.83921,7480.077141,7873.166243,
Brazil,BRA,6710.964526,6919.981067,6925.379871,7297.683777,7723.899622,8102.66855,8300.244709,8594.561343,8588.358096,8624.437256,9073.976905,9274.24759,9581.992836,9747.941038,10460.55063,11004.95618,11659.39278,12568.1979,13332.14386,13288.43548,14320.36869,15061.95319,15506.55426,16111.44268,16358.39077,15813.85544,15331.54852,15662.24047,16096.40096,
Barbados,BRB,9601.754308,9504.045613,9133.075839,9388.327618,9743.985691,10108.13402,10658.68025,11308.23332,11811.27544,11972.34158,12734.21678,12659.77483,12917.43431,13399.25767,13905.82076,14850.10279,16099.4947,16765.32442,17170.59085,16392.95742,16164.98116,16321.98342,16582.13009,16607.18236,16861.34651,17386.93959,17947.96334,18229.58768,18554.12928,
Brunei Darussalam,BRN,54959.66686,56957.04564,59315.49556,59221.62765,60713.3777,63092.95787,64468.37649,63095.77642,62020.90941,63432.25556,65305.76557,67184.3545,69510.20853,71514.39372,72549.22496,73930.4777,78411.6146,79631.19236,78670.55795,76961.8122,78907.87122,82502.9353,83725.42103,82263.49831,80782.0315,80177.75612,78134.66652,79789.48786,80920.04868,
Bhutan,BTN,1527.318005,1561.268532,1670.680164,1750.523298,1878.897652,2043.535699,2168.991473,2281.792061,2389.082202,2555.91735,2640.679535,2865.296749,3161.84584,3406.512427,3641.685222,3968.817637,4317.784502,5181.00986,5472.363625,5822.685951,6517.066344,7097.18994,7513.686888,7712.881979,8108.300979,8705.598204,9392.257873,9860.605042,10167.93406,
Botswana,BWA,5516.982749,5946.129686,6088.138275,6190.382225,6392.272416,6818.180804,7174.163728,7722.300075,7667.659791,8347.874331,8528.969125,8574.343766,9076.228393,9506.492466,9849.796995,10421.37193,11401.3476,12409.29787,13158.84871,12007.23239,12964.35144,13838.60282,14558.06641,16310.10289,17092.12224,16724.51778,17314.77444,17784.84904,18615.79334,
Central African Republic,CAF,637.673007,639.24786,595.1240085,593.8260264,618.1903624,658.1958458,626.7927287,654.7290067,676.6514145,694.6384334,676.8110417,706.6981799,728.1662565,687.3649048,733.3177346,748.1942658,791.9856238,834.5316894,852.9298062,919.4085589,962.2919722,1016.218552,1083.689925,699.5928807,710.8121645,744.7345426,780.9055326,821.2162029,859.9356196,
Canada,CAN,20173.93565,20160.72885,20557.46336,21367.20327,22555.69744,23401.87468,23962.49945,25167.51971,26220.26621,27745.80655,29265.08444,30107.65694,30853.20132,32225.05212,33796.9992,36211.0846,37999.0386,39439.80689,40275.9899,38797.38505,40012.3914,41569.44962,42189.19611,44188.73171,45645.5643,44567.86635,45011.64317,46723.31776,48130.25597,
Central Europe and the Baltics,CEB,7094.654527,6650.887166,6683.343473,6954.801114,7392.052673,7964.901691,8368.851192,8684.441967,9077.011375,9375.855786,9998.133467,10782.25744,11606.67435,12301.66286,13445.65139,14282.39703,15878.13511,17719.18489,19650.1993,19672.21067,20739.74609,22154.24909,22970.44874,23970.20777,24983.49474,26080.23562,27360.06805,29651.18951,31214.20902,
Switzerland,CHE,27594.63205,27915.47156,28226.22674,28596.95284,29343.63158,29902.5187,30542.05743,31812.49876,32918.55657,33814.11454,35754.54761,36778.01064,37718.28483,37713.3375,39170.03225,40572.26448,45106.41668,49746.38939,52584.72681,51769.03029,53067.72464,56183.82162,57849.57204,60108.52002,61902.12954,63938.98939,64323.92524,66395.85634,68060.94105,
Chile,CHL,4511.170059,4952.538507,5622.777359,6119.380168,6568.780825,7351.828808,8011.571183,8637.330741,8995.76512,8977.117402,9553.566623,9972.651027,10333.06363,10841.32389,11812.63501,12746.58339,15753.96299,16941.83598,16501.80692,16159.60523,18161.80392,20342.57092,21507.7074,22439.27836,22786.6556,22688.01003,22874.14942,24248.86076,25222.52778,
China,CHN,987.6411788,1100.814276,1270.296992,1463.801748,1671.200917,1872.606651,2074.36167,2281.443841,2464.186352,2668.230229,2936.287745,3227.419438,3553.923793,3958.471977,4449.561919,5081.049041,5867.796877,6847.069623,7615.029533,8352.689933,9303.7337,10355.49571,11328.28171,12361.39797,13446.40239,14454.99797,15513.27304,16782.20776,18236.61298,
Cote d'Ivoire,CIV,2132.102478,2127.063956,2093.992179,2065.448911,2054.857974,2173.948327,2309.184015,2361.960494,2432.562754,2438.286671,2378.610507,2376.207237,2321.401906,2283.588006,2324.958116,2387.621825,2443.851599,2498.335894,2553.838041,2596.897477,2618.31892,2495.495125,2747.900523,2970.202338,3211.099745,3444.4498,3665.550486,3921.713336,4207.086934,
Cameroon,CMR,1949.280614,1881.304376,1810.590723,1658.104401,1681.521961,1728.152257,1787.794433,1863.91245,1919.008934,1978.033283,2039.934284,2119.058927,2184.982452,2265.805853,2418.58814,2476.299312,2568.442478,2691.89729,2762.942018,2767.974836,2817.572722,2914.237667,3021.4092,3153.682358,3311.734005,3442.73448,3546.54456,3644.801096,3785.079978,
"Congo, Dem. Rep.",COD,900.0163607,821.3396262,723.14019,616.1099446,583.1345357,580.4480108,568.8692387,532.840563,517.997815,491.3203812,455.8150878,443.5747121,450.4504171,469.7704098,498.9798703,528.9747838,555.799958,586.9952654,615.0719745,616.6586194,646.2953953,682.007332,719.914259,768.6449157,829.3626456,867.0883574,868.6133562,888.67728,932.1720068,
