Country,Region,Gdp,Year
Liechtenstein,Europe,169049.0,2019.0
Monaco,Europe,173688.0,2020.0
Luxembourg,Europe,135683.0,2021.0
Bermuda,Americas,110870.0,2021.0
Ireland,Europe,99152.0,2021.0
Norway,Europe,89203.0,2021.0
Switzerland,Europe,93457.0,2021.0
Isle of Man,Europe,86482.0,2019.0
Cayman Islands,Americas,85347.0,2021.0
Qatar,Asia,61276.0,2021.0
Singapore,Asia,72794.0,2021.0
United States,Americas,69288.0,2021.0
Channel Islands,Europe,74463.0,2007.0
Iceland,Europe,68384.0,2021.0
Australia,Oceania,59934.0,2021.0
Faroe Islands,Europe,66321.0,2020.0
Denmark,Europe,67803.0,2021.0
Canada,Americas,52051.0,2021.0
Sweden,Europe,60239.0,2021.0
Netherlands,Europe,58061.0,2021.0
Israel,Asia,51430.0,2021.0
Greenland,Americas,54570.0,2020.0
Austria,Europe,53268.0,2021.0
Finland,Europe,53983.0,2021.0
Belgium,Europe,51768.0,2021.0
Hong Kong,Asia,49661.0,2021.0
British Virgin Islands,Americas,,
Germany,Europe,50802.0,2021.0
United Arab Emirates,Asia,36285.0,2020.0
San Marino,Europe,45516.0,2020.0
United Kingdom,Europe,47334.0,2021.0
New Zealand,Oceania,48802.0,2021.0
Brunei,Asia,31723.0,2021.0
France,Europe,43519.0,2021.0
Andorra,Europe,43048.0,2021.0
U.S. Virgin Islands,Americas,39552.0,2020.0
Puerto Rico,Americas,31430.0,2020.0
Kuwait,Asia,24812.0,2020.0
Taiwan,Asia,,
New Caledonia,Oceania,34695.0,2020.0
Guam,Oceania,34624.0,2020.0
Japan,Asia,39285.0,2021.0
Italy,Europe,35551.0,2021.0
Macau,Asia,45422.0,2021.0
South Korea,Asia,34758.0,2021.0
Malta,Europe,33257.0,2021.0
Bahamas,Americas,28239.0,2021.0
Aruba,Americas,23384.0,2020.0
Cyprus,Asia,30799.0,2021.0
Slovenia,Europe,29201.0,2021.0
Estonia,Europe,27281.0,2021.0
Spain,Europe,30116.0,2021.0
Bahrain,Asia,22232.0,2021.0
Czech Republic,Europe,26379.0,2021.0
Saudi Arabia,Asia,23586.0,2021.0
Portugal,Europe,24262.0,2021.0
Turks and Caicos Islands,Americas,24047.0,2021.0
Lithuania,Europe,23433.0,2021.0
Oman,Asia,16439.0,2021.0
Iran,Asia,2757.0,2020.0
Latvia,Europe,20642.0,2021.0
Saint Martin (French part),Americas,21459.0,2014.0
Greece,Europe,20277.0,2021.0
Trinidad and Tobago,Americas,15243.0,2021.0
Northern Mariana Islands,Oceania,20660.0,2019.0
Slovakia,Europe,21088.0,2021.0
Seychelles,Africa,13307.0,2021.0
French Polynesia,Oceania,20183.0,2020.0
Uruguay,Americas,17021.0,2021.0
Barbados,Americas,17034.0,2021.0
Sint Maarten (Dutch part),Americas,28988.0,2018.0
Saint Kitts and Nevis,Americas,18230.0,2021.0
Poland,Europe,17841.0,2021.0
Hungary,Europe,18773.0,2021.0
Guyana,Americas,9375.0,2021.0
Croatia,Europe,17399.0,2021.0
Anguilla,Americas,,
Antigua and Barbuda,Americas,14901.0,2021.0
Panama,Americas,14517.0,2021.0
Cook Islands,Oceania,,
Curaçao,Americas,16110.0,2021.0
Romania,Europe,14862.0,2021.0
Chile,Americas,16503.0,2021.0
Maldives,Asia,8995.0,2021.0
Russia,Europe,12173.0,2021.0
Argentina,Americas,10729.0,2021.0
Montserrat,Americas,,
Malaysia,Asia,11371.0,2021.0
Costa Rica,Americas,12509.0,2021.0
China,Asia,12556.0,
American Samoa,Oceania,12845.0,2020.0
Palau,Oceania,14244.0,2021.0
Bulgaria,Europe,11635.0,2021.0
Worl,World,12263.0,2021.0
Turkmenistan,Asia,7612.0,2019.0
Kazakhstan,Asia,10042.0,2021.0
Equatorial Guinea,Africa,8462.0,2021.0
Mexico,Americas,9926.0,2021.0
Saint Lucia,Americas,9571.0,2021.0
Dominican Republic,Americas,8604.0,2021.0
Grenada,Americas,9929.0,2021.0
Gabon,Africa,8017.0,2021.0
Nauru,Oceania,12252.0,2021.0
